IOC_2020_Orders,IOC_2020_Species,IOC_2020_Binomial,Categories_feeding,Dive score,,Max_dive_depth,Avg_max_depth,Max_duration (s),Avg_max_dur,Method,Reference_depth,Reference_duration,,,,,Notes,,,
Sphenisciformes,African Penguin,Spheniscus_demersus,Pursuit diving,3,,110,32.1,275,86.8,TDR,Pichegru et al. 2012 Biol Conserv 156: 117-125,Pichegru et al. 2012 Biol Conserv 156: 117-125,,,,,,,,
Suliformes,African Darter,Anhinga_rufa,Shallow swimming,1,,4,,108,44.7,obs,Ryan 2007 J Avian Biol 38: 507-514,Ryan 2007 J Avian Biol 38: 507-514,,,,,,,,
Suliformes,Northern Gannet,Morus_bassanus,Pursuit plunging,2,,26.4,14.5,40,22.4,TDR,Ropert-Coudert et al. 2003 J Avian Biol 40: 380-387,Ropert-Coudert et al. 2003 J Avian Biol 40: 380-387,,,,,,,,
Suliformes,Cape Gannet,Morus_capensis,Pursuit plunging,2,,22,3.39,28.3,5.03,M190-D2GT,Ropert-Coudert et al. 2004 Ibis 146: 281-290,Ropert-Coudert et al. 2004 Anim Behav 67: 985-992,,,,,,,,
Suliformes,Reed Cormorant,Microcarbo_africanus,Pursuit diving,1,,10,,43.4,16.7,,Hustler 1992 Ibis 134: 229-236,Cooper 1986 Ibis 128: 562-570,,,,,,,,
Suliformes,South Georgia Shag,Leucocarbo_georgianus,Pursuit diving,4,,116,85,312,196,TDR,Croxall et al. 1991 J Zool 225: 177-199,Croxall et al. 1991 J Zool 225: 177-199,,,,,,,,
Suliformes,Cape Cormorant,Phalacrocorax_capensis,Pursuit diving,3,,34,10.2,70,21.2,(M190-D2GT,Ryan et al. 2010 J Zool 280: 25-32,Ryan et al. 2010 J Zool 280: 25-32,,,,,,,,
Suliformes,White-breasted Cormorant,Phalacrocorax_lucidus,Pursuit diving,3,,33.2,5.98,152,39.2,M190-D2GT,Kato et al. 2006 MEPS 308: 293-301,Cooper 1986 Ibis 128: 562-570,,,,,,,,
Suliformes,Crowned Cormorant,Microcarbo_coronatus,Pursuit diving,2,,18,2,58.5,23.5,,T. Cook unpub. on BirdLife webpage  http://datazone.birdlife.org/species/factsheet/crowned-cormorant-microcarbo-coronatus/text,Cooper 1986 Ibis 128: 562-570,,,,,,,,
Suliformes,Bank Cormorant,Phalacrocorax_neglectus,Pursuit diving,3,,47.1,29.9,115,72.4,TDR,Ludynia et al. 2010 MEPS 12:31-40,Ludynia et al. 2010 MEPS 12:31-40,,,,,,,,
Phaethontiformes,Red-tailed tropicbird,Phaethon_rubricauda,Pursuit plunging,2,,25.6,10.7,,,MDR,"Julia SommerfeldA,B and Janos C. HennickeA 2010",,,,,,Maximum depth recorder,,,
